compound_name,atom_index,atom_symbol,atomic_number,degree,formal_charge,valence,hybridization,is_aromatic,is_in_ring,ring_size,num_hydrogens,neighbor_c,neighbor_n,neighbor_o,neighbor_halogen,aromatic_neighbors,single_bonds,double_bonds,triple_bonds,gasteiger_charge,mean_neighbor_charge,max_neighbor_charge,min_neighbor_charge,PC1_raw,PC2_raw,PC1_scaled,PC2_scaled,cluster,cluster_name
Gabapentin,0,N,7,1,0,3,3,0,0,0,2,1,0,0,0,0,1,0,0,-0.3299039869250462,-0.0014897432589478698,-0.0014897432589478698,-0.0014897432589478698,-3.6507209156057607,-0.7967411307933814,-2.863262504626643,-0.27019024771137556,1,Aliphatic sp3 Atom
Gabapentin,1,C,6,2,0,4,3,0,0,0,2,1,1,0,0,0,2,0,0,-0.0014897432589478698,-0.16845268705979885,-0.007001387194551519,-0.3299039869250462,-3.552760247142718,0.8211529459032167,-0.7451026889533754,-3.1489889593027924,3,Heteroatom-Adjacent Carbon
Gabapentin,2,C,6,4,0,4,3,0,1,6,0,4,0,0,0,0,4,0,0,-0.007001387194551519,-0.010242041138676673,0.052170432888410084,-0.04582442709208445,2.418161330409039,4.124598855617603,1.0534503638090886,-1.276311480715769,5,Saturated Ring Atom
Gabapentin,3,C,6,2,0,4,3,0,0,0,2,2,0,0,0,0,2,0,0,0.052170432888410084,0.1482271003824452,0.3034555879594419,-0.007001387194551519,-3.4409104736971354,1.0405068544981964,-2.16718899736848,-0.9031299033486206,5,Saturated Ring Atom
Gabapentin,4,C,6,3,0,4,2,0,0,0,0,1,0,2,0,0,2,1,0,0.3034555879594419,-0.22716812971452463,0.052170432888410084,-0.4812145706603313,-3.47648545399645,1.3425614800614003,0.02745175720390197,-5.322811632728798,4,Carbonyl Carbon
Gabapentin,5,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,-0.25246025137165273,0.3034555879594419,0.3034555879594419,0.3034555879594419,-3.5996239459297397,-2.0238122604938606,-4.650156228995274,1.9221361928571963,6,Carbonyl Oxygen
Gabapentin,6,O,8,1,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0,-0.4812145706603313,0.3034555879594419,0.3034555879594419,0.3034555879594419,-3.693522255815364,-1.3063595423229284,-4.630492329017493,2.4609005528575385,2,Electron-Rich Heteroatom
Gabapentin,7,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0,-0.04582442709208445,-0.029857553035511068,-0.007001387194551519,-0.05271371887647062,2.201223516550042,1.0953115670052833,0.03341373695921471,-0.7364360224261971,5,Saturated Ring Atom
Gabapentin,8,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0,-0.05271371887647062,-0.049543819430268005,-0.04582442709208445,-0.05326321176845155,2.20188356363331,1.0962437706531123,0.12617007437406227,-0.8148852921528003,5,Saturated Ring Atom
Gabapentin,9,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0,-0.05326321176845155,-0.05271371887647062,-0.05271371887647062,-0.05271371887647062,2.20199619173277,1.0963813448817223,0.1420820672628981,-0.8281785896549209,5,Saturated Ring Atom
Gabapentin,10,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0,-0.05271371887647062,-0.049543819430268005,-0.04582442709208445,-0.05326321176845155,2.20188356363331,1.0962437706531123,0.12617007437406227,-0.8148852921528003,5,Saturated Ring Atom
